hadist,author_perawi
"Sesungguhnya setiap amal bergantung pada niat, dan setiap orang memperoleh sesuai dengan apa yang diniatkannya.","Umar bin Khattab — HR. Bukhari no. 1"
"Mukmin yang kuat lebih baik dan lebih dicintai Allah daripada mukmin yang lemah; bersemangatlah pada hal yang bermanfaat, mohonlah pertolongan Allah, dan jangan lemah.","Abu Hurairah — HR. Muslim no. 2664"
"Amal yang paling dicintai Allah adalah yang paling konsisten, meskipun sedikit.","Aisyah — HR. Bukhari no. 6464"
"Sesungguhnya Allah menetapkan ihsan (berbuat sebaik-baiknya) dalam segala sesuatu.","Syaddad bin Aus — HR. Muslim no. 1955"
"Tidak sempurna iman seseorang hingga ia mencintai bagi saudaranya apa yang ia cintai bagi dirinya sendiri.","Anas bin Malik — HR. Bukhari no. 13"
"Siapa yang tidak menyayangi, tidak akan disayangi.","Jarir bin Abdullah — HR. Bukhari no. 6013"
"Seorang mukmin dengan mukmin lainnya seperti bangunan yang saling menguatkan.","Abu Musa — HR. Bukhari no. 6026"
"Tolonglah saudaramu ketika ia berbuat zalim maupun dizalimi; menolong orang zalim ialah mencegahnya dari kezaliman.","Anas bin Malik — HR. Bukhari no. 2444"
"Tanda orang munafik ada tiga: bila berbicara berdusta, bila berjanji mengingkari, dan bila dipercaya berkhianat.","Abu Hurairah — HR. Bukhari no. 33"
"Penjual dan pembeli diberi keberkahan bila keduanya jujur dan menjelaskan keadaan barang; bila berdusta dan menyembunyikan, keberkahannya dihapus.","Hakim bin Hizam — HR. Bukhari no. 2079"
"Tangan di atas lebih baik daripada tangan di bawah; mulailah memberi kepada orang yang menjadi tanggunganmu.","Abdullah bin Umar — HR. Bukhari no. 1427"
"Tidaklah seseorang memakan makanan yang lebih baik daripada hasil kerja tangannya sendiri.","Al-Miqdam — HR. Bukhari no. 2072"
"Para sahabat pergi ke pasar dan bekerja sebagai pengangkut barang agar memperoleh penghasilan yang dapat mereka sedekahkan.","Abu Masud Al-Ansari — HR. Bukhari no. 2273"
"Bendahara yang amanah, yang menyerahkan dengan lengkap dan senang hati sesuai perintah, termasuk salah seorang dari dua orang yang bersedekah.","Abu Musa — HR. Bukhari no. 2319"
"Berlaku adil di antara dua orang adalah sedekah.","Abu Hurairah — HR. Bukhari no. 2707"
"Siapa yang melepaskan satu kesusahan seorang mukmin di dunia, Allah akan melepaskan satu kesusahannya pada hari Kiamat; Allah menolong hamba selama ia menolong saudaranya.","Abu Hurairah — HR. Muslim no. 2699"
"Setiap perbuatan baik adalah sedekah.","Hudzaifah — HR. Muslim no. 1005"
"Siapa yang memulai teladan baik dalam Islam, ia mendapat pahalanya dan pahala orang yang mengikutinya tanpa mengurangi pahala mereka.","Jarir bin Abdullah — HR. Muslim no. 1017"
"Jangan saling dengki, membenci, dan membelakangi; jadilah hamba-hamba Allah yang bersaudara.","Abu Hurairah — HR. Muslim no. 2564"
"Tidak sempurna iman seseorang sampai tetangganya aman dari gangguannya.","Abu Hurairah — HR. Muslim no. 46"
"Agama adalah nasihat: untuk Allah, kitab-Nya, Rasul-Nya, para pemimpin kaum Muslimin, dan masyarakat pada umumnya.","Tamim Ad-Dari — HR. Muslim no. 55"
"Kesombongan adalah menolak kebenaran dan meremehkan manusia.","Abdullah bin Masud — HR. Muslim no. 91"
"Bersuci adalah separuh iman; ucapan alhamdulillah memenuhi timbangan; kesabaran adalah cahaya.","Abu Malik Al-Asyari — HR. Muslim no. 223"
"Sungguh menakjubkan urusan seorang mukmin: semua urusannya baik. Bila mendapat kesenangan ia bersyukur, dan bila tertimpa kesulitan ia bersabar.","Shuhaib — HR. Muslim no. 2999"
"Lihatlah orang yang berada di bawah kalian dan jangan melihat orang yang berada di atas kalian; itu lebih patut agar kalian tidak meremehkan nikmat Allah.","Abu Hurairah — HR. Muslim no. 2963"
"Kekayaan bukanlah banyaknya harta, tetapi kekayaan adalah kaya hati.","Abu Hurairah — HR. Bukhari no. 6446"
"Jadilah di dunia seperti orang asing atau seorang musafir.","Abdullah bin Umar — HR. Bukhari no. 6416"
"Ada dua nikmat yang sering disia-siakan banyak manusia: kesehatan dan waktu luang.","Ibnu Abbas — HR. Bukhari no. 6412"
"Allah tidak menurunkan penyakit kecuali menurunkan pula obatnya.","Abu Hurairah — HR. Bukhari no. 5678"
"Tidaklah kelelahan, sakit, kegelisahan, kesedihan, gangguan, bahkan duri yang menusuk seorang Muslim, kecuali Allah menggugurkan sebagian kesalahannya.","Abu Said & Abu Hurairah — HR. Bukhari no. 5641"
"Orang kuat bukanlah yang menang bergulat, tetapi orang yang mampu mengendalikan dirinya ketika marah.","Abu Hurairah — HR. Bukhari no. 6114"
"Seorang laki-laki meminta nasihat kepada Nabi. Beliau menjawab: jangan marah, dan mengulang nasihat itu beberapa kali.","Abu Hurairah — HR. Bukhari no. 6116"
"Seorang mukmin tidak disengat dari lubang yang sama dua kali.","Abu Hurairah — HR. Bukhari no. 6133"
"Kejujuran membawa kepada kebaikan dan kebaikan membawa ke surga; dusta membawa kepada keburukan dan keburukan membawa ke neraka.","Abdullah bin Masud — HR. Bukhari no. 6094"
"Siapa yang beriman kepada Allah dan hari akhir hendaklah berkata baik atau diam.","Abu Hurairah — HR. Bukhari no. 6475"
"Siapa yang ingin dilapangkan rezekinya dan dipanjangkan jejak umurnya, hendaklah ia menyambung silaturahmi.","Anas bin Malik — HR. Bukhari no. 5986"
"Allah menyayangi orang-orang yang penyayang; sayangilah penduduk bumi, niscaya kalian disayangi oleh Yang di langit.","Abdullah bin Amr — HR. Abu Dawud no. 4941 (sahih)"
"Permudahlah dan jangan mempersulit; berilah kabar gembira dan jangan membuat orang menjauh.","Anas bin Malik — HR. Bukhari no. 69"
"Kelembutan tidak ada pada sesuatu kecuali menghiasinya, dan tidak dicabut dari sesuatu kecuali membuatnya buruk.","Aisyah — HR. Muslim no. 2594"
"Orang-orang yang berlaku adil akan berada di sisi Allah di atas mimbar-mimbar cahaya: mereka yang adil dalam keputusan, keluarga, dan amanah yang dipimpinnya.","Abdullah bin Amr — HR. Muslim no. 1827"
"Setiap kalian adalah pemimpin dan setiap kalian akan dimintai pertanggungjawaban atas yang dipimpinnya.","Abdullah bin Umar — HR. Bukhari no. 7138"
"Apabila amanah disia-siakan, tunggulah kehancuran; yaitu ketika urusan diserahkan kepada yang bukan ahlinya.","Abu Hurairah — HR. Bukhari no. 6496"
"Orang yang mengurus janda dan orang miskin seperti pejuang di jalan Allah, atau seperti orang yang terus salat malam dan berpuasa siang hari.","Abu Hurairah — HR. Bukhari no. 6007"
